medbio_id	post	pre
m40049	0159.AS41.40049.20200902.SAL	0159.AS41.40049.20181102.SAL
m40050	0159.AS41.40050.20200902.SAL	0159.AS41.40050.20181102.SAL
m40058	0159.AS41.40058.20201013.SAL	0159.AS41.40058.20180619.SAL
m40071	0159.AS41.40071.20200815.SAL	0159.AS41.40071.20190430.SAL
m40072	0159.AS41.40072.20200820.SAL	0159.AS41.40072.20190409.SAL
m40075	0159.AS41.40075.20200811.SAL	0159.AS41.40075.20190604.SAL
m40082	0159.AS41.40082.20200811.SAL	0159.AS41.40082.20190611.SAL
m40089	0159.AS41.40089.20200814.SAL	0159.AS41.40089.20190723.SAL
m40097	0159.AS41.40097.20200812.SAL	0159.AS41.40097.20191022.SAL
m40099	0159.AS41.40099.20200814.SAL	0159.AS41.40099.20191029.SAL
m40101	0159.AS41.40101.20200829.SAL	0159.AS41.40101.20191107.SAL
m40102	0159.AS41.40102.20200828.SAL	0159.AS41.40102.20191107.SAL
m40103	0159.AS41.40103.20200819.SAL	0159.AS41.40103.20200114.SAL
m33003	0159.AY44.33003.20200908.SAL	NA
m33005	0159.AY44.33005.20200902.SAL	NA
m33007	0159.AY44.33007.20200829.SAL	NA
m33026	0159.AY44.33026.20200821.SAL	NA
m33028	0159.AY44.33028.20200803.SAL	NA
m33030	0159.AY44.33030.20200808.SAL	NA
m33032	0159.AY44.33032.20201013.SAL	NA
m33034	0159.AY44.33034.20200808.SAL	NA
m33038	0159.AY44.33038.20200809.SAL	NA
m33041	0159.AY44.33041.20200902.SAL	NA
m33042	0159.AY44.33042.20200831.SAL	NA
m33043	0159.AY44.33043.20200805.SAL	NA
m33046	0159.AY44.33046.20200903.SAL	NA
m33051	0159.AY44.33051.20201010.SAL	NA
m33055	0159.AY44.33055.20201021.SAL	NA
m33056	0159.AY44.33056.20200823.SAL	NA
m33058	0159.AY44.33058.20200910.SAL	NA
m33071	0159.AY44.33071.20200826.SAL	NA
m33072	0159.AY44.33072.20200914.SAL	NA
m33073	0159.AY44.33073.20200827.SAL	NA
m33081	0159.AY44.33081.20200824.SAL	NA
m33083	0159.AY44.33083.20200824.SAL	NA
m33088	0159.AY44.33088.20200828.SAL	NA
m33103	0159.AY44.33103.20200708.SAL	NA
m33109	0159.AY44.33109.20200828.SAL	NA
m33118	0159.AY44.33118.20200827.SAL	NA
m33121	0159.AY44.33121.20200826.SAL	NA
m33122	0159.AY44.33122.20200721.SAL	NA
m33138	0159.AY44.33138.20200808.SAL	NA
m33142	0159.AY44.33142.20200828.SAL	NA
m33153	0159.AY44.33153.20200827.SAL	NA
m33156	0159.AY44.33156.20200813.SAL	NA
m33157	0159.AY44.33157.20200813.SAL	NA
m33163	0159.AY44.33163.20200829.SAL	NA
m33165	0159.AY44.33165.20200804.SAL	NA
m33168	0159.AY44.33168.20200909.SAL	NA
m33170	0159.AY44.33170.20200806.SAL	NA
m33171	0159.AY44.33171.20200902.SAL	NA
m33175	0159.AY44.33175.20200807.SAL	NA
m33184	0159.AY44.33184.20200817.SAL	NA
m33198	0159.AY44.33198.20200805.SAL	NA
m33200	0159.AY44.33200.20200805.SAL	NA
m33201	0159.AY44.33201.20200731.SAL	NA
m33207	0159.AY44.33207.20200810.SAL	NA
m33211	0159.AY44.33211.20200826.SAL	NA
m33215	0159.AY44.33215.20200810.SAL	NA
m33242	0159.AY44.33242.20200811.SAL	NA
m33244	0159.AY44.33244.20200804.SAL	NA
m33246	0159.AY44.33246.20200715.SAL	NA
m33254	0159.AY44.33254.20200716.SAL	NA
m33257	0159.AY44.33257.20200724.SAL	NA
m33259	0159.AY44.33259.20200914.SAL	NA
m33261	0159.AY44.33261.20200720.SAL	NA
m33264	0159.AY44.33264.20200811.SAL	NA
m33274	0159.AY44.33274.20200811.SAL	NA
m33277	0159.AY44.33277.20200819.SAL	NA
m33282	0159.AY44.33282.20200822.SAL	NA
m33283	0159.AY44.33283.20200720.SAL	NA
m33288	0159.AY44.33288.20200722.SAL	NA
m33289	0159.AY44.33289.20200711.SAL	NA
m33293	0159.AY44.33293.20200822.SAL	NA
m33297	0159.AY44.33297.20200715.SAL	NA
m33303	0159.AY44.33303.20201019.SAL	NA
m33307	0159.AY44.33307.20200715.SAL	NA
m33308	0159.AY44.33308.20200722.SAL	NA
m33314	0159.AY44.33314.20200718.SAL	NA
